State,Year,Quarter,District,Count,Amount
Jharkhand,2022,3,bokaro,11304820,14727741169.334763
Jharkhand,2022,3,giridih,7398254,11920111086.952282
Jharkhand,2022,3,palamu,6770650,12637980151.710459
Jharkhand,2022,3,ramgarh,5408270,7941969760.320181
Jharkhand,2022,3,deoghar,4037018,6301182422.022277
Jharkhand,2022,3,koderma,3729215,6719612545.072683
Jharkhand,2022,4,ranchi,41821467,63819119475.171005
Jharkhand,2022,4,east singhbhum,24875930,36996606734.88582
Jharkhand,2022,4,dhanbad,18383284,27724792259.010098
Jharkhand,2022,4,bokaro,14851022,20173927151.750202
Jharkhand,2022,4,hazaribagh,13124400,20746013914.46022
Jharkhand,2022,4,giridih,8482602,13630978502.274261
Jharkhand,2022,4,palamu,8295151,15143138186.199799
Jharkhand,2022,4,ramgarh,6829219,10303594244.585339
Jharkhand,2022,4,garhwa,4570205,8930245496.96877
Jharkhand,2022,4,deoghar,4399812,6832642718.442626
Jharkhand,2022,1,ranchi,28253540,46123330242.43965
Jharkhand,2022,1,dhanbad,10895145,16014299345.818779
Jharkhand,2022,1,bokaro,9906035,13303827043.387669
Jharkhand,2022,1,east singhbhum,9576498,14369232011.490187
Jharkhand,2022,1,hazaribagh,9038043,16229125858.21476
Jharkhand,2022,1,giridih,7126103,13042929318.085455
Jharkhand,2022,1,palamu,5805932,13079772637.081738
Jharkhand,2022,1,ramgarh,4563913,7357524201.067262
Jharkhand,2022,1,koderma,3110218,6307772153.647697
Jharkhand,2022,1,garhwa,3083712,8114726164.818388
Jharkhand,2021,2,ranchi,12803752,24097148083.85807
Jharkhand,2021,2,dhanbad,5334482,8209158081.62978
Jharkhand,2021,2,bokaro,5268766,7412510718.099218
Jharkhand,2021,2,east singhbhum,4844508,7485477213.889221
Jharkhand,2021,2,hazaribagh,4311550,8773101232.776592
Jharkhand,2021,2,giridih,3689998,7492833865.491149
Jharkhand,2021,2,palamu,2758556,7542921519.250462
Jharkhand,2021,2,ramgarh,2288585,3877533810.611661
Jharkhand,2021,2,koderma,1572074,3471429723.776345
Jharkhand,2021,2,garhwa,1508109,4795351244.711267
Jharkhand,2021,3,ranchi,18164412,29840666997.95928
Jharkhand,2021,3,dhanbad,7087770,10358661169.007963
Jharkhand,2021,3,bokaro,6784128,8909127705.008242
Jharkhand,2021,3,east singhbhum,6664581,9865148330.327866
Jharkhand,2021,3,hazaribagh,5890582,10260697900.091326
Jharkhand,2021,3,giridih,4225858,7817410903.974938
Jharkhand,2021,3,palamu,3314946,7464641801.918359
Jharkhand,2021,3,ramgarh,2997440,4729136754.335512
Jharkhand,2021,3,koderma,1915108,3791284439.1618476
Jharkhand,2021,3,saraikela kharsawan,1902736,2794551681.2667665
Jharkhand,2021,4,ranchi,24545152,39912526848.089005
Jharkhand,2021,4,dhanbad,9479444,14274464381.899334
Jharkhand,2021,4,bokaro,9299800,12121069536.264236
Jharkhand,2021,4,east singhbhum,8580079,12866334499.288763
Jharkhand,2021,4,hazaribagh,7977180,13886616619.230753
Jharkhand,2021,4,giridih,5962192,11092190597.04572
Jharkhand,2021,4,palamu,4766385,10484190181.850275
Jharkhand,2021,4,ramgarh,3983583,6432497429.630725
Jharkhand,2021,4,koderma,2621669,5203974984.686633
Jharkhand,2021,4,saraikela kharsawan,2464688,3572566246.9868546
Jharkhand,2021,1,ranchi,11611641,20516524899.031517
Jharkhand,2021,1,dhanbad,4584110,6811987883.293641
Jharkhand,2021,1,east singhbhum,4431654,6647300274.483877
Jharkhand,2021,1,bokaro,4420466,5905357346.344384
Jharkhand,2021,1,hazaribagh,3539762,6866253812.618536
Jharkhand,2021,1,giridih,2479885,5277166388.790894
Jharkhand,2021,1,palamu,2014288,5697480883.817553
Jharkhand,2021,1,ramgarh,1838015,3113016266.6747637
Jharkhand,2021,1,saraikela kharsawan,1224133,1846065133.2774882
Jharkhand,2021,1,garhwa,1096691,3661839156.389298
Jharkhand,2023,2,ranchi,55131854,71798538513.0
Jharkhand,2023,2,dhanbad,28623519,38413855098.0
Jharkhand,2023,2,hazaribagh,25466457,38465409550.0
Jharkhand,2023,2,bokaro,24624703,30526202563.0
Jharkhand,2023,2,east singhbhum,23821061,30294655974.0
